ID,Product,Category,Sales,Quantity,Rating,Order_Date,Customer_ID
1043,High-Top Basketball Shoes,Footwear,135.00,1,4.4,2024-06-07,CUST-543
1044,Mesh Task Office Chair,Furniture,145.00,1,4.1,2024-06-10,CUST-544
1045,True Wireless Gaming Earbuds,Electronics,69.99,2,4.3,2024-06-14,CUST-545
1046,Cast Iron Skillet 12-inch,Kitchen,36.00,1,4.8,2024-06-18,CUST-546
1047,Slim Fit Chino Pants,Apparel,52.00,2,4.2,2024-06-22,CUST-547
1048,Hard-Shell Travel Suitcase,Accessories,139.99,1,4.7,2024-06-25,CUST-548
1049,Smart Fitness Tracker Ring,Electronics,189.95,1,4.6,2024-06-29,CUST-549
1050,Scented Soy Candle Trio,Home,26.00,3,4.4,2024-07-03,CUST-550
1051,Stainless Steel French Press,Kitchen,32.00,2,4.5,2024-07-06,CUST-551
1052,Ankle Running Socks 6-Pack,Footwear,16.50,4,4.7,2024-07-10,CUST-552
1053,USB-C Docking Station Triple Display,Electronics,119.99,1,4.4,2024-07-14,CUST-553
1054,Linen Table Runner,Home,24.00,2,4.0,2024-07-18,CUST-554
1055,Hydration Running Vest,Fitness,49.95,1,4.5,2024-07-22,CUST-555
1056,Athletic Performance Shorts,Apparel,31.00,2,4.3,2024-07-25,CUST-556
1057,Webcam 1080P with Privacy Cover,Electronics,49.99,1,4.2,2024-07-29,CUST-557
1058,Vacuum Insulated Food Jar,Kitchen,23.50,2,4.6,2024-08-02,CUST-558
1059,Casual Slip-On Loafers,Footwear,79.00,1,4.1,2024-08-06,CUST-559
1060,Adjustable Laptop Stand,Furniture,29.99,2,4.8,2024-08-10,CUST-560
1061,External Portable SSD 1TB,Electronics,99.95,1,4.9,2024-08-14,CUST-561
1062,Microfiber Cleaning Cloths 12-Pack,Home,14.99,3,4.7,2024-08-18,CUST-562
1063,Breathable Gym Tank Top,Apparel,18.00,3,4.2,2024-08-21,CUST-563
1064,Barista Milk Frother,Kitchen,38.99,1,4.5,2024-08-25,CUST-564
1065,Speed Jump Rope Cable,Fitness,12.50,4,4.4,2024-08-29,CUST-565
1066,Smart Surge Protector Power Strip,Electronics,34.50,2,4.6,2024-09-02,CUST-566
1067,Canvas Weekend Duffle Bag,Accessories,65.00,1,4.3,2024-09-06,CUST-567
1068,Sandals Ergonomic Slide,Footwear,35.00,2,3.9,2024-09-10,CUST-568
1069,Desktop Bookshelf Organizer,Furniture,27.50,1,4.2,2024-09-14,CUST-569
1070,Touchscreen Digital Food Scale,Kitchen,19.99,2,4.7,2024-09-18,CUST-570
1071,Wireless In-Ear Earphones,Electronics,,2,4.2,2024-09-20,CUST-571
1072,Soft Flannel Blanket,Home,29.95,,4.5,2024-09-21,CUST-572
1073,Vintage Denim Jeans,Apparel,58.00,1,,2024-09-22,CUST-573
1070,Touchscreen Digital Food Scale,Kitchen,19.99,2,4.7,2024-09-18,CUST-570
